x0,x1,x2,y,x3,x4,x5,x6,x7,x8
A0,A0,A0,50,7,11,0.26,1,,423.85714285714283
A0,A1,A1,150,3,15,2.13,1,77.0,428.0
A1,A2,A0,70,1,7,3.18,6,326.0,431.85714285714283
A1,A3,A0,33,1,17,6.46,4,208.0,428.85714285714283
A0,A1,A0,45,3,2,0.09,1,0.0,358.42857142857144
A2,A4,A1,164,30,0,,33,307.0,
A1,A5,A1,110,2,6,1.54,1,309.0,424.7142857142857
A2,A6,A0,69,10,0,,1,0.0,
A2,A7,A1,175,9,0,,1,365.0,
A0,A8,A1,160,5,10,0.39,1,8.0,409.42857142857144
A1,A9,A0,50,1,0,,1,,
A0,A10,A1,125,5,2,0.76,1,9.0,424.85714285714283
A0,A11,A0,62,3,48,0.68,8,340.0,429.0
A0,A12,A1,115,3,2,0.32,1,0.0,412.0
A2,A13,A0,90,7,0,,1,,
A2,A14,A0,130,2,0,,1,0.0,
A0,A15,A0,50,10,0,,1,0.0,
A2,A6,A1,500,1,11,7.86,1,,430.85714285714283
A0,A16,A0,85,3,35,4.34,1,127.0,429.14285714285717
A2,A17,A0,45,3,49,1.26,1,0.0,429.57142857142856
A0,A18,A0,65,1,52,0.87,2,82.0,427.85714285714283
A2,A6,A2,95,1,8,2.38,5,23.0,427.42857142857144
A2,A19,,50,1,1,0.03,1,0.0,307.85714285714283
A3,A20,A1,119,4,48,0.98,1,,431.57142857142856
A2,A21,A1,195,2,0,,1,0.0,
A1,A5,A1,99,5,15,0.43,1,,374.57142857142856
A0,A15,A1,150,7,0,,1,0.0,
A2,A21,A0,69,5,10,0.28,1,0.0,340.85714285714283
A0,A12,A1,199,30,5,0.08,52,311.0,426.7142857142857
A0,A22,A0,50,1,2,2.0,3,342.0,431.0
A1,A23,A1,105,2,47,3.47,3,,431.85714285714283
A1,A24,A1,85,7,60,1.65,1,,430.85714285714283
A0,A16,A0,70,2,29,1.71,1,16.0,430.14285714285717
A2,A17,A0,69,2,15,0.7,9,,428.42857142857144
A0,A10,A1,142,4,41,0.58,1,151.0,429.14285714285717
A0,A25,A0,175,1,3,3.0,1,,430.85714285714283
A0,A0,A1,100,5,0,,1,,
A2,A21,A1,129,7,10,0.29,1,,410.85714285714283
A0,A1,A0,50,1,186,5.65,4,0.0,426.2857142857143
A0,A22,A1,120,90,0,,1,,
A2,A26,A0,80,1,0,,1,56.0,
A1,A27,,150,2,3,0.16,2,0.0,380.14285714285717
A0,A1,A1,99,1,31,0.89,1,345.0,390.42857142857144
A2,A28,A0,104,31,1,0.05,2,,343.2857142857143
A0,A29,A1,150,5,0,,1,8.0,
A0,A16,A0,75,3,25,1.62,3,167.0,431.0
A0,A0,A0,45,3,3,0.07,1,0.0,243.28571428571428
A2,A30,,110,2,1,0.03,1,,285.2857142857143
A0,A15,A0,115,3,27,0.69,1,56.0,396.0
A1,A31,A0,45,1,3,1.43,4,360.0,427.85714285714283
A2,A21,A1,150,2,14,1.36,1,,429.7142857142857
A2,A14,A1,385,5,44,0.75,1,,425.7142857142857
A0,A1,A0,96,2,2,1.82,1,103.0,429.57142857142856
A0,A11,A2,200,7,0,,1,,
A0,A32,A0,38,5,1,0.02,1,0.0,231.0
A0,A15,A0,150,1,39,1.72,1,,429.57142857142856
A2,A19,A1,79,1,4,0.14,1,0.0,353.85714285714283
A0,A0,A0,55,4,21,0.34,4,129.0,419.0
A0,A15,A1,595,3,5,0.43,1,13.0,405.14285714285717
A0,A11,A1,97,2,0,,1,324.0,
A2,A4,A1,200,1,1,0.02,1,0.0,167.57142857142858
A2,A33,A0,70,1,1,1.0,1,132.0,431.14285714285717
A0,A12,A1,110,30,4,0.12,4,301.0,332.0
A2,A4,A1,299,3,76,5.82,1,91.0,431.42857142857144
A2,A17,A1,125,5,15,0.38,1,0.0,336.0
A0,A15,A1,220,4,1,1.0,1,25.0,429.85714285714283
A0,A34,A1,159,2,106,1.22,1,34.0,430.0
A2,A21,A1,275,2,3,2.05,1,12.0,428.85714285714283
A2,A19,,65,2,0,,1,0.0,
A2,A35,A0,150,1,0,,1,0.0,
A0,A12,A1,200,3,95,1.65,1,358.0,430.2857142857143
A0,A36,A1,165,2,21,3.73,1,,430.7142857142857
A2,A19,A0,85,2,211,2.63,2,339.0,431.14285714285717
A2,A33,A0,45,5,30,0.94,2,0.0,405.2857142857143
A2,A21,A1,299,1,177,4.05,1,91.0,429.7142857142857
A3,A37,A0,40,3,5,0.46,2,365.0,424.85714285714283
A2,A38,A0,169,7,1,1.0,13,365.0,428.2857142857143
A0,A16,A1,135,3,5,0.71,3,,431.2857142857143
A1,A27,A0,51,3,38,3.65,3,146.0,431.14285714285717
A1,A39,A0,55,2,25,2.37,3,38.0,429.7142857142857
A2,A19,A1,300,4,31,2.16,1,286.0,431.0
A2,A40,A0,75,2,18,0.88,3,62.0,424.57142857142856
A2,A6,A1,369,30,0,,121,,
A2,A41,A0,100,1,0,,13,343.0,
A0,A0,A1,210,4,1,0.16,1,0.0,405.14285714285717
A2,A28,A1,450,1,1,0.02,1,0.0,196.71428571428572
A2,A19,A0,40,1,27,4.01,1,49.0,429.0
A2,A13,A0,60,3,2,0.05,1,,263.57142857142856
A0,A15,A0,95,2,0,,5,193.0,
A0,A1,A0,55,5,1,0.02,1,0.0,220.85714285714286
A0,A42,A0,48,90,53,0.57,2,,332.7142857142857
A3,A43,A1,105,1,23,1.02,3,6.0,431.57142857142856
A2,A6,A1,300,3,8,3.33,1,,429.2857142857143
A0,A15,A0,90,3,10,4.55,1,77.0,431.7142857142857
A2,A44,A0,100,2,0,,1,,
A2,A19,A0,75,30,0,,1,90.0,
A2,A21,A1,150,5,1,0.05,1,0.0,351.0
A2,A21,,225,1,2,2.0,1,344.0,430.2857142857143
A2,A6,A0,86,1,158,7.33,5,,430.42857142857144
A2,A45,A0,55,1,8,0.33,1,0.0,332.42857142857144
A1,A46,A1,85,2,59,2.69,1,36.0,429.0
A0,A16,A0,50,30,1,0.15,6,365.0,403.7142857142857
A2,A6,A1,190,2,3,0.25,1,0.0,380.0
A2,A6,A1,100,30,7,0.19,31,244.0,419.2857142857143
A0,A1,A0,80,1,4,0.21,1,,372.2857142857143
A1,A23,A1,120,2,3,0.27,1,40.0,387.0
A2,A21,A1,100,2,0,,2,22.0,
A0,A1,A0,79,2,14,1.63,1,79.0,426.85714285714283
A2,A38,A1,179,29,0,,327,333.0,
A2,A38,A1,398,2,0,,327,,
A1,A47,A0,65,4,38,0.93,1,,430.85714285714283
A2,A17,A0,250,1,2,0.05,1,358.0,429.85714285714283
A2,A6,A1,189,29,0,,327,332.0,
A0,A48,A1,175,2,35,1.17,1,325.0,429.2857142857143
A0,A12,A0,100,2,0,,1,0.0,
A2,A17,A0,147,4,30,1.18,1,28.0,429.0
A2,A33,A1,78,4,7,0.29,1,,379.85714285714283
A3,A49,A0,40,1,1,0.03,1,,300.85714285714283
A2,A26,A1,190,2,8,0.54,1,3.0,414.14285714285717
A2,A44,A1,590,1,0,,1,365.0,
A2,A4,A1,365,6,7,0.26,1,0.0,356.57142857142856
A2,A13,A1,300,30,0,,25,288.0,
A2,A44,A1,350,30,1,0.15,4,151.0,403.14285714285717
A1,A5,A2,50,1,0,,1,0.0,
